Date,SP500,AAPL,AIG,AMZN,AVGO,BAC,BRK-B,C,CSCO,CVX,GE,GOOGL,IBM,INTC,JNJ,JPM,KO,LLY,META,MO,MRK,MSFT,NVDA,PFE,PG,T,TSLA,TWX,UNH,V,WFC,WMT,XOM,HD,MA,ORCL,VZ
2001-01-31,100.0000000000,100.0000000000,100.0000000000,100.0000000000,,100.0000000000,100.0000000000,100.0000000000,100.0000000000,100.0000000000,100.0000000000,,100.0000000000,100.0000000000,100.0000000000,100.0000000000,100.0000000000,100.0000000000,,100.0000000000,100.0000000000,100.0000000000,100.0000000000,100.0000000000,100.0000000000,100.0000000000,,100.0000000000,100.0000000000,,100.0000000000,100.0000000000,100.0000000000,100.0000000000,,100.0000000000,100.0000000000
2001-02-01,100.5550437578,97.6878612720,100.6116207950,93.8628158840,,98.9966555180,102.2222222220,100.5002680010,102.1702838060,99.9879923150,100.5000000000,,101.8303571430,102.1959459460,100.7945882100,101.5639207130,99.0344827590,101.7131979700,,104.0681818180,102.7987344850,102.1494370520,100.5145278450,100.1328903650,102.9370824050,104.5501551190,,94.8059360730,100.5850026590,,97.8450786260,98.0633802820,99.2156862750,100.9336099590,,103.2188841200,100.0909918110
2001-02-02,98.7982409108,95.3757225440,101.6113855563,83.0324909747,,99.5912300260,103.6444444444,99.3360339215,94.8247078457,98.9673390965,100.6086956524,,98.4553571426,96.4527027025,102.1153226674,99.3817057643,99.5517241387,103.9340101532,,103.2045454540,102.1781455337,99.5905834185,90.7990314773,99.4462901434,102.6726057907,102.9989658741,,90.9246575339,108.3141287008,,97.5344593292,96.4084507048,98.6215092099,97.2821576766,,95.2789699572,94.6314831663
2001-02-05,99.1552244519,93.3526011569,103.7285344627,83.3935018053,,98.9594946119,102.2666666669,100.8405825782,92.3205342235,99.1474543698,104.0217391309,,100.1964285710,93.8040540535,100.8590142809,99.2907801418,102.0689655182,101.3959390872,,105.6363636358,102.7987344845,101.4329580351,90.6779661023,101.3289036535,103.4938752783,102.7921406413,,93.9307458142,110.6364119844,,99.7087944098,94.7887323947,100.7724301844,96.7012448133,,94.4206008584,95.5414012741
2001-02-06,99.0100405629,97.6878612723,101.7995765707,91.3357400727,,94.6859903384,101.1111111112,98.7449612352,95.4924874792,101.6930835723,103.4782608698,,101.9553571428,95.8322498167,100.3113926763,95.0718312421,102.4482758634,98.3502538084,,104.9090909089,102.6527135543,102.4564994889,91.1622276036,101.5503875960,103.1737193762,102.8955532579,,92.9414003046,107.9595816352,,98.7963502244,93.6619718312,100.2257872850,94.7095435687,,94.8497854082,98.9990900821
2001-02-07,98.1990038962,95.9537572260,102.2112444138,86.6425992784,,91.9732441471,100.0000000000,97.3657916335,82.9716193656,100.0840537929,102.0652173920,,104.4999999814,94.4801193081,101.9005690966,95.1627568653,103.4482758630,100.1903553313,,104.5454545449,99.5984424420,105.9365404310,86.9249394682,98.5603543738,104.6631403117,100.6204756988,,91.7047184177,109.6791349059,,98.5051446329,96.2323943662,100.7724301847,94.9792531118,,95.0643776830,96.3603275712
2001-02-08,97.5877882384,95.9537572260,100.7998118102,83.0324909748,,90.5797101450,102.3568888890,96.9000980021,80.1335559264,101.1767531208,102.4782608703,,101.9257120684,93.6350377399,101.6106517762,93.9807237687,104.5000000013,102.7791878191,,106.6818181814,100.9613044520,101.9447287626,86.4406779670,99.1140642300,104.2594654791,99.7311271984,,92.7701674282,107.9595816350,,99.2040380519,92.0774647890,100.9396675035,91.2655601655,,93.1330472107,96.7242948138
2001-02-09,96.2894799182,88.4393063591,101.9524817706,77.2563176897,,91.9732441468,101.8666666663,96.8105415342,75.2921535889,103.1340057625,99.2608695661,,100.3972286199,90.5927440948,101.9864705241,94.4717221316,103.6896551734,102.4746192908,,109.0909090905,100.6570941818,96.8270214957,85.8353510905,99.7563676633,104.3847438759,96.3185108588,,89.8972602747,103.7936536083,,98.3692486905,88.7323943667,102.5642586022,92.1784232357,,80.9012875540,95.5232029126
2001-02-12,97.4297111455,91.0404624289,105.2693483901,83.7545126354,,93.0137495349,102.8888888881,99.3181226290,78.9649415685,103.9024975968,103.2826086970,,102.7033615422,93.4660214261,105.3366262208,95.5628296056,104.8620689667,102.0304568537,,108.9772727265,100.9734728625,96.2128966241,83.5351089593,102.1483942411,104.5378619162,98.8004136505,,90.4299847804,104.8041127467,,98.6216268692,94.1021126770,102.4448033743,94.8755186713,,78.9699570815,97.2702456785
2001-02-13,96.5950903752,88.4393063596,104.6577275945,79.4223826716,,93.3481976956,104.3555555546,97.7777513852,76.1268781296,103.2660902959,102.5217391321,,101.6754340769,87.7194667631,104.0481047993,92.9987270417,103.3793103458,101.8654822347,,108.1818181814,98.2599172528,95.2917093155,86.0774818408,99.7342192683,103.7722717152,100.2275077561,,91.4954337910,103.8645630215,,97.0491166770,95.2464788746,101.2860876643,96.0788381733,,77.4678111588,98.6351228400
