Date,Top 10 tickers,Top 10 stock indices
2001-01-31,"GE, MSFT, C, XOM, PFE, CSCO, INTC, WMT, TWX, IBM","9, 20, 6, 31, 22, 7, 12, 30, 26, 11"
2001-02-01,"GE, MSFT, C, XOM, PFE, CSCO, WMT, INTC, TWX, AIG","9, 20, 6, 31, 22, 7, 30, 12, 26, 1"
2001-02-02,"GE, MSFT, C, XOM, PFE, CSCO, INTC, WMT, TWX, IBM","9, 20, 6, 31, 22, 7, 12, 30, 26, 11"
2001-02-05,"GE, MSFT, C, XOM, PFE, CSCO, WMT, INTC, AIG, TWX","9, 20, 6, 31, 22, 7, 30, 12, 1, 26"
2001-02-06,"GE, MSFT, XOM, PFE, C, CSCO, WMT, INTC, AIG, TWX","9, 20, 31, 22, 6, 7, 30, 12, 1, 26"
2001-02-07,"GE, MSFT, XOM, PFE, C, CSCO, INTC, WMT, TWX, AIG","9, 20, 31, 22, 6, 7, 12, 30, 26, 1"
2001-02-08,"GE, MSFT, XOM, PFE, C, WMT, INTC, CSCO, IBM, AIG","9, 20, 31, 22, 6, 30, 12, 7, 11, 1"
2001-02-09,"GE, MSFT, XOM, PFE, C, WMT, INTC, CSCO, TWX, IBM","9, 20, 31, 22, 6, 30, 12, 7, 26, 11"
2001-02-12,"GE, MSFT, XOM, PFE, C, INTC, WMT, CSCO, AIG, IBM","9, 20, 31, 22, 6, 12, 30, 7, 1, 11"
2001-02-13,"GE, MSFT, XOM, PFE, C, WMT, INTC, CSCO, AIG, IBM","9, 20, 31, 22, 6, 30, 12, 7, 1, 11"
2001-02-14,"GE, MSFT, XOM, PFE, C, WMT, INTC, AIG, CSCO, TWX","9, 20, 31, 22, 6, 30, 12, 1, 7, 26"
2001-02-15,"GE, MSFT, XOM, PFE, C, WMT, INTC, CSCO, IBM, TWX","9, 20, 31, 22, 6, 30, 12, 7, 11, 26"
2001-02-16,"GE, MSFT, XOM, PFE, C, INTC, WMT, CSCO, TWX, IBM","9, 20, 31, 22, 6, 12, 30, 7, 26, 11"
2001-02-20,"GE, MSFT, XOM, PFE, C, WMT, INTC, CSCO, AIG, IBM","9, 20, 31, 22, 6, 30, 12, 7, 1, 11"
2001-02-21,"GE, MSFT, XOM, PFE, C, WMT, INTC, AIG, IBM, CSCO","9, 20, 31, 22, 6, 30, 12, 1, 11, 7"
2001-02-22,"GE, MSFT, XOM, PFE, C, WMT, INTC, AIG, IBM, TWX","9, 20, 31, 22, 6, 30, 12, 1, 11, 26"
2001-02-23,"GE, MSFT, XOM, PFE, C, WMT, INTC, AIG, IBM, CSCO","9, 20, 31, 22, 6, 30, 12, 1, 11, 7"
2001-02-26,"GE, MSFT, XOM, PFE, C, WMT, INTC, CSCO, AIG, IBM","9, 20, 31, 22, 6, 30, 12, 7, 1, 11"
2001-02-27,"GE, MSFT, XOM, PFE, C, WMT, INTC, TWX, AIG, CSCO","9, 20, 31, 22, 6, 30, 12, 26, 1, 7"
2001-02-28,"GE, MSFT, XOM, PFE, C, WMT, AIG, INTC, TWX, MRK","9, 20, 31, 22, 6, 30, 1, 12, 26, 19"
2001-03-01,"GE, MSFT, PFE, XOM, C, WMT, INTC, AIG, TWX, MRK","9, 20, 22, 31, 6, 30, 12, 1, 26, 19"
2001-03-02,"GE, MSFT, XOM, PFE, C, WMT, INTC, AIG, TWX, IBM","9, 20, 31, 22, 6, 30, 12, 1, 26, 11"
2001-03-05,"GE, MSFT, XOM, PFE, C, WMT, INTC, AIG, MRK, IBM","9, 20, 31, 22, 6, 30, 12, 1, 19, 11"
2001-03-06,"GE, MSFT, XOM, PFE, C, WMT, INTC, AIG, TWX, IBM","9, 20, 31, 22, 6, 30, 12, 1, 26, 11"
